,LOCATION,SUBJECT,TIME,Value
0,IND,TOT,1958,4.775169
1,IND,TOT,1959,4.557539
2,IND,TOT,1960,1.779876
3,IND,TOT,1961,1.695218
4,IND,TOT,1962,3.632216
5,IND,TOT,1963,2.946157
6,IND,TOT,1964,13.35526
7,IND,TOT,1965,9.474753
8,IND,TOT,1966,10.80186
9,IND,TOT,1967,13.0622
10,IND,TOT,1968,3.23741
11,IND,TOT,1969,-0.5841361
12,IND,TOT,1970,5.092258
13,IND,TOT,1971,3.079941
14,IND,TOT,1972,6.442097
15,IND,TOT,1973,16.94082
16,IND,TOT,1974,28.59873
17,IND,TOT,1975,5.748425
18,IND,TOT,1976,-7.633931
19,IND,TOT,1977,8.307467
20,IND,TOT,1978,2.523039
21,IND,TOT,1979,6.275692
22,IND,TOT,1980,11.34606
23,IND,TOT,1981,13.11255
24,IND,TOT,1982,7.89075
25,IND,TOT,1983,11.86807
26,IND,TOT,1984,8.318914
27,IND,TOT,1985,5.556426
28,IND,TOT,1986,8.729712
29,IND,TOT,1987,8.801135
30,IND,TOT,1988,9.383466
31,IND,TOT,1989,7.074283
32,IND,TOT,1990,8.971233
33,IND,TOT,1991,13.87025
34,IND,TOT,1992,11.78782
35,IND,TOT,1993,6.32689
36,IND,TOT,1994,10.24793
37,IND,TOT,1995,10.22489
38,IND,TOT,1996,8.977149
39,IND,TOT,1997,7.164254
40,IND,TOT,1998,13.23084
41,IND,TOT,1999,4.669821
42,IND,TOT,2000,4.009434
43,IND,TOT,2001,3.779289
44,IND,TOT,2002,4.29716
45,IND,TOT,2003,3.805866
46,IND,TOT,2004,3.767238
47,IND,TOT,2005,4.246353
48,IND,TOT,2006,5.796516
49,IND,TOT,2007,6.372881
50,IND,TOT,2008,8.349267
51,IND,TOT,2009,10.88235
52,IND,TOT,2010,11.98939
53,IND,TOT,2011,8.858361
54,IND,TOT,2012,9.312446
55,IND,TOT,2013,10.90764
56,IND,TOT,2014,6.353195
57,IND,TOT,2015,5.872427
58,IND,TOT,2016,4.941027
59,IND,TOT,2017,2.490887
60,IND,TOT,2018,4.8607
61,IND,TOT,2019,7.659695
62,IND,TOT,2020,5.561349
63,IND,TOT,2021,4.890086
