,LOCATION,INDICATOR,SUBJECT,MEASURE,TIME,Value
744,USA,CPI,FOOD,AGRWTH,Jan-2018,1.049946
745,USA,CPI,FOOD,AGRWTH,Feb-2018,0.5375129
746,USA,CPI,FOOD,AGRWTH,Mar-2018,0.3846607
747,USA,CPI,FOOD,AGRWTH,Apr-2018,0.5560668
748,USA,CPI,FOOD,AGRWTH,May-2018,0.1447985
749,USA,CPI,FOOD,AGRWTH,Jun-2018,0.3698726
750,USA,CPI,FOOD,AGRWTH,Jul-2018,0.3678773
751,USA,CPI,FOOD,AGRWTH,Aug-2018,0.4923167
752,USA,CPI,FOOD,AGRWTH,Sep-2018,0.4252698
753,USA,CPI,FOOD,AGRWTH,Oct-2018,0.1463857
754,USA,CPI,FOOD,AGRWTH,Nov-2018,0.4010984
755,USA,CPI,FOOD,AGRWTH,Dec-2018,0.5958272
756,USA,CPI,FOOD,AGRWTH,Jan-2019,0.6520786
757,USA,CPI,FOOD,AGRWTH,Feb-2019,1.213934
758,USA,CPI,FOOD,AGRWTH,Mar-2019,1.43304
759,USA,CPI,FOOD,AGRWTH,Apr-2019,0.73213
760,USA,CPI,FOOD,AGRWTH,May-2019,1.203607
761,USA,CPI,FOOD,AGRWTH,Jun-2019,0.9403347
762,USA,CPI,FOOD,AGRWTH,Jul-2019,0.649224
763,USA,CPI,FOOD,AGRWTH,Aug-2019,0.4752954
764,USA,CPI,FOOD,AGRWTH,Sep-2019,0.587989
765,USA,CPI,FOOD,AGRWTH,Oct-2019,1.024177
766,USA,CPI,FOOD,AGRWTH,Nov-2019,0.992391
767,USA,CPI,FOOD,AGRWTH,Dec-2019,0.7218634
768,USA,CPI,FOOD,AGRWTH,Jan-2020,0.7185466
769,USA,CPI,FOOD,AGRWTH,Feb-2020,0.8188964
770,USA,CPI,FOOD,AGRWTH,Mar-2020,1.072606
771,USA,CPI,FOOD,AGRWTH,Apr-2020,4.071869
772,USA,CPI,FOOD,AGRWTH,May-2020,4.828605
773,USA,CPI,FOOD,AGRWTH,Jun-2020,5.667887
774,USA,CPI,FOOD,AGRWTH,Jul-2020,4.643099
775,USA,CPI,FOOD,AGRWTH,Aug-2020,4.645166
776,USA,CPI,FOOD,AGRWTH,Sep-2020,4.08025
777,USA,CPI,FOOD,AGRWTH,Oct-2020,3.968361
778,USA,CPI,FOOD,AGRWTH,Nov-2020,3.609459
779,USA,CPI,FOOD,AGRWTH,Dec-2020,3.948081
780,USA,CPI,FOOD,AGRWTH,Jan-2021,3.696902
781,USA,CPI,FOOD,AGRWTH,Feb-2021,3.555487
782,USA,CPI,FOOD,AGRWTH,Mar-2021,3.294272
783,USA,CPI,FOOD,AGRWTH,Apr-2021,1.22308
784,USA,CPI,FOOD,AGRWTH,May-2021,0.6777601
785,USA,CPI,FOOD,AGRWTH,Jun-2021,0.9356757
786,USA,CPI,FOOD,AGRWTH,Jul-2021,2.569324
787,USA,CPI,FOOD,AGRWTH,Aug-2021,2.980927
788,USA,CPI,FOOD,AGRWTH,Sep-2021,4.516333
789,USA,CPI,FOOD,AGRWTH,Oct-2021,5.382061
790,USA,CPI,FOOD,AGRWTH,Nov-2021,6.385879
791,USA,CPI,FOOD,AGRWTH,Dec-2021,6.500177
792,USA,CPI,FOOD,AGRWTH,Jan-2022,7.348101
793,USA,CPI,FOOD,AGRWTH,Feb-2022,8.627005
794,USA,CPI,FOOD,AGRWTH,Mar-2022,10.01809
795,USA,CPI,FOOD,AGRWTH,Apr-2022,10.84535
796,USA,CPI,FOOD,AGRWTH,May-2022,12.01785
797,USA,CPI,FOOD,AGRWTH,Jun-2022,12.23261
798,USA,CPI,FOOD,AGRWTH,Jul-2022,13.14925
799,USA,CPI,FOOD,AGRWTH,Aug-2022,13.53321
800,USA,CPI,FOOD,AGRWTH,Sep-2022,12.92705
801,USA,CPI,FOOD,AGRWTH,Oct-2022,12.43914
802,USA,CPI,FOOD,AGRWTH,Nov-2022,11.95687
803,USA,CPI,FOOD,AGRWTH,Dec-2022,11.88275
1560,USA,CPI,FOOD,IDX2015,Jan-2018,98.99831
1561,USA,CPI,FOOD,IDX2015,Feb-2018,98.72523
1562,USA,CPI,FOOD,IDX2015,Mar-2018,98.71365
1563,USA,CPI,FOOD,IDX2015,Apr-2018,99.11314
1564,USA,CPI,FOOD,IDX2015,May-2018,98.77058
1565,USA,CPI,FOOD,IDX2015,Jun-2018,98.71751
1566,USA,CPI,FOOD,IDX2015,Jul-2018,98.98769
1567,USA,CPI,FOOD,IDX2015,Aug-2018,99.07358
1568,USA,CPI,FOOD,IDX2015,Sep-2018,99.12182
1569,USA,CPI,FOOD,IDX2015,Oct-2018,99.02147
1570,USA,CPI,FOOD,IDX2015,Nov-2018,98.78988
1571,USA,CPI,FOOD,IDX2015,Dec-2018,99.05235
1572,USA,CPI,FOOD,IDX2015,Jan-2019,99.64385
1573,USA,CPI,FOOD,IDX2015,Feb-2019,99.92369
1574,USA,CPI,FOOD,IDX2015,Mar-2019,100.1283
1575,USA,CPI,FOOD,IDX2015,Apr-2019,99.83878
1576,USA,CPI,FOOD,IDX2015,May-2019,99.95939
1577,USA,CPI,FOOD,IDX2015,Jun-2019,99.64578
1578,USA,CPI,FOOD,IDX2015,Jul-2019,99.63035
1579,USA,CPI,FOOD,IDX2015,Aug-2019,99.54446
1580,USA,CPI,FOOD,IDX2015,Sep-2019,99.70465
1581,USA,CPI,FOOD,IDX2015,Oct-2019,100.0356
1582,USA,CPI,FOOD,IDX2015,Nov-2019,99.77026
1583,USA,CPI,FOOD,IDX2015,Dec-2019,99.76737
1584,USA,CPI,FOOD,IDX2015,Jan-2020,100.3598
1585,USA,CPI,FOOD,IDX2015,Feb-2020,100.742
1586,USA,CPI,FOOD,IDX2015,Mar-2020,101.2022
1587,USA,CPI,FOOD,IDX2015,Apr-2020,103.9041
1588,USA,CPI,FOOD,IDX2015,May-2020,104.786
1589,USA,CPI,FOOD,IDX2015,Jun-2020,105.2936
1590,USA,CPI,FOOD,IDX2015,Jul-2020,104.2563
1591,USA,CPI,FOOD,IDX2015,Aug-2020,104.1685
1592,USA,CPI,FOOD,IDX2015,Sep-2020,103.7728
1593,USA,CPI,FOOD,IDX2015,Oct-2020,104.0054
1594,USA,CPI,FOOD,IDX2015,Nov-2020,103.3714
1595,USA,CPI,FOOD,IDX2015,Dec-2020,103.7063
1596,USA,CPI,FOOD,IDX2015,Jan-2021,104.07
1597,USA,CPI,FOOD,IDX2015,Feb-2021,104.3238
1598,USA,CPI,FOOD,IDX2015,Mar-2021,104.5361
1599,USA,CPI,FOOD,IDX2015,Apr-2021,105.1749
1600,USA,CPI,FOOD,IDX2015,May-2021,105.4962
1601,USA,CPI,FOOD,IDX2015,Jun-2021,106.2788
1602,USA,CPI,FOOD,IDX2015,Jul-2021,106.935
1603,USA,CPI,FOOD,IDX2015,Aug-2021,107.2737
1604,USA,CPI,FOOD,IDX2015,Sep-2021,108.4596
1605,USA,CPI,FOOD,IDX2015,Oct-2021,109.603
1606,USA,CPI,FOOD,IDX2015,Nov-2021,109.9726
1607,USA,CPI,FOOD,IDX2015,Dec-2021,110.4474
1608,USA,CPI,FOOD,IDX2015,Jan-2022,111.7172
1609,USA,CPI,FOOD,IDX2015,Feb-2022,113.3239
1610,USA,CPI,FOOD,IDX2015,Mar-2022,115.0086
1611,USA,CPI,FOOD,IDX2015,Apr-2022,116.5815
1612,USA,CPI,FOOD,IDX2015,May-2022,118.1746
1613,USA,CPI,FOOD,IDX2015,Jun-2022,119.2795
1614,USA,CPI,FOOD,IDX2015,Jul-2022,120.9961
1615,USA,CPI,FOOD,IDX2015,Aug-2022,121.7912
1616,USA,CPI,FOOD,IDX2015,Sep-2022,122.4802
1617,USA,CPI,FOOD,IDX2015,Oct-2022,123.2367
1618,USA,CPI,FOOD,IDX2015,Nov-2022,123.1219
1619,USA,CPI,FOOD,IDX2015,Dec-2022,123.5715
